  352 256.754402269 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=313, FN=0, Flags=........, BI=204, SSID=eduroam
  353 260.514468920 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=370, FN=0, Flags=........, BI=204, SSID=eduroam
  354 264.274570670 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=428, FN=0, Flags=........, BI=204, SSID=eduroam
  356 266.573260082 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=461, FN=0, Flags=........, BI=204, SSID=eduroam
  358 267.617108386 Cisco_d0:24:7f → Broadcast    802.11 336  48 Beacon frame, SN=478, FN=0, Flags=........, BI=204, SSID=eduroam
  368 268.655326688 Cisco_c9:e3:b0 → Broadcast    802.11 303  9 Beacon frame, SN=2501, FN=0, Flags=........, BI=204, SSID=eduroam
  369 268.660494461 Cisco_04:0f:92 → Broadcast    802.11 313  9 Beacon frame, SN=525, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  379 269.386755656 Cisco_d0:24:7e → Broadcast    802.11 312  48 Beacon frame, SN=505, FN=0, Flags=........, BI=204, SSID=TUvisitor
  381 270.211708916 Cisco_04:0f:9e → Broadcast    802.11 312  100 Beacon frame, SN=2016, FN=0, Flags=........, BI=204, SSID=TUvisitor
  390 270.541623300 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=521, FN=0, Flags=........, BI=204, SSID=eduroam
  391 271.449644770 Cisco_7e:9b:7f → Broadcast    802.11 332  132 Beacon frame, SN=939, FN=0, Flags=........, BI=204, SSID=eduroam
  397 275.137168715 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=588, FN=0, Flags=........, BI=204, SSID=eduroam
  398 282.666569162 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=699, FN=0, Flags=........, BI=204, SSID=eduroam
  399 285.790796923 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=746, FN=0, Flags=........, BI=204, SSID=eduroam
  402 290.595534539 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=818, FN=0, Flags=........, BI=204, SSID=eduroam
  403 291.848698887 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=839, FN=0, Flags=........, BI=204, SSID=eduroam
  404 296.026604759 Cisco_d0:24:7f → Broadcast    802.11 348  48 Beacon frame, SN=899, FN=0, Flags=........, BI=204, SSID=eduroam
  405 298.115604296 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=929, FN=0, Flags=........, BI=204, SSID=eduroam
  406 301.040072612 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=970, FN=0, Flags=........, BI=204, SSID=eduroam
  407 303.129091745 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1002, FN=0, Flags=........, BI=204, SSID=eduroam
  408 310.649314718 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1116, FN=0, Flags=........, BI=204, SSID=eduroam
  409 313.156068057 Cisco_d0:24:7f → Broadcast    802.11 356  48 Beacon frame, SN=1152, FN=0, Flags=........, BI=204, SSID=eduroam
  410 316.498299720 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1201, FN=0, Flags=........, BI=204, SSID=eduroam
  415 324.436345642 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1317, FN=0, Flags=........, BI=204, SSID=eduroam
  416 337.596718358 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1516, FN=0, Flags=........, BI=204, SSID=eduroam
  417 338.850100389 Cisco_d0:24:7f → Broadcast    802.11 336  48 Beacon frame, SN=1536, FN=0, Flags=........, BI=204, SSID=eduroam
  418 341.147945097 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1575, FN=0, Flags=........, BI=204, SSID=eduroam
  419 344.908054695 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1630, FN=0, Flags=........, BI=204, SSID=eduroam
  420 348.668099274 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1683, FN=0, Flags=........, BI=204, SSID=eduroam
  421 352.637099438 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1743, FN=0, Flags=........, BI=204, SSID=eduroam
  422 356.398420160 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=1798, FN=0, Flags=........, BI=204, SSID=eduroam
  423 361.410695282 Cisco_d0:24:7f → Broadcast    802.11 336  48 Beacon frame, SN=1870, FN=0, Flags=........, BI=204, SSID=eduroam
  428 382.927065691 Cisco_d0:24:7f → Broadcast    802.11 332  48 Beacon frame, SN=2187, FN=0, Flags=........, BI=204, SSID=eduroam
