  221 203.069303055 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=336, FN=0, Flags=........, BI=100, SSID=Himanshu
  227 208.586402500 Tp-LinkT_73:b1:67 → Broadcast    802.11 307  1 Beacon frame, SN=1442, FN=0, Flags=........, BI=100, SSID=Yowifi
  237 208.779463089 Tp-LinkT_e6:8e:b2 → Broadcast    802.11 294  8 Beacon frame, SN=2050, FN=0, Flags=........, BI=100, SSID=Athreya
  239 208.832685652 BelkinIn_97:29:d5 → Broadcast    802.11 340  10 Beacon frame, SN=1278, FN=0, Flags=........, BI=100, SSID=Baaijens
  243 208.874405258 Apple_e9:5f:fa → Broadcast    802.11 267  11 Beacon frame, SN=3318, FN=0, Flags=........, BI=100, SSID=Hogwarts
  252 209.653089740 Apple_e9:5f:fb → Broadcast    802.11 267  100 Beacon frame, SN=319, FN=0, Flags=........, BI=100, SSID=Hogwarts
  265 211.568599368 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=485, FN=0, Flags=........, BI=100, SSID=Himanshu
  268 212.490254196 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=495, FN=0, Flags=........, BI=100, SSID=Himanshu
  340 213.719061674 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=515, FN=0, Flags=........, BI=100, SSID=Himanshu
  348 214.231098035 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=520, FN=0, Flags=........, BI=100, SSID=Himanshu
  351 215.971879378 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=545, FN=0, Flags=........, BI=100, SSID=Himanshu
  357 216.893480746 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=557, FN=0, Flags=........, BI=100, SSID=Himanshu
  362 217.405473849 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=562, FN=0, Flags=........, BI=100, SSID=Himanshu
  363 217.815089111 Netgear_13:e0:88 → Broadcast    802.11 319  6 Beacon frame, SN=569, FN=0, Flags=........, BI=100, SSID=Himanshu
