  151 483.771147887 Zte_5a:6b:6e → Broadcast    802.11 338  100 Beacon frame, SN=2813, FN=0, Flags=........, BI=100, SSID=H369A5A6B6D  5GHz
  154 545.983649102 CompalBr_aa:51:ff → Broadcast    802.11 317  1 Beacon frame, SN=44, FN=0, Flags=........, BI=100, SSID=ZiggoCCEA616
  156 545.989536287 92:5c:14:aa:51:ff → Broadcast    802.11 284  1 Beacon frame, SN=46, FN=0, Flags=........, BI=100, SSID=Ziggo
  161 546.189163535 Tp-LinkT_c5:dc:18 → Broadcast    802.11 293  9 Beacon frame, SN=3271, FN=0, Flags=........, BI=100, SSID=TP-LINK_DC18
  165 546.649349772 CompalBr_aa:51:f2 → Broadcast    802.11 362  60 Beacon frame, SN=3442, FN=0, Flags=........, BI=100, SSID=ZiggoCCEA616
  167 609.062841642 Cisco_c7:c1:a1 → Broadcast    802.11 301  5 Beacon frame, SN=1365, FN=0, Flags=........, BI=204, SSID=TUvisitor
  172 609.273597069 Cisco_43:0f:f0 → Broadcast    802.11 321  13 Beacon frame, SN=3617, FN=0, Flags=........, BI=204, SSID=eduroam
  176 609.407536130 Cisco_19:33:cf → Broadcast    802.11 347  52 Beacon frame, SN=465, FN=0, Flags=........, BI=204, SSID=eduroam
  180 609.436284767 Cisco_c7:ef:9d → Broadcast    802.11 355  56 Beacon frame, SN=778, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  181 609.473311453 Cisco_22:ec:af → Broadcast    802.11 347  60 Beacon frame, SN=2056, FN=0, Flags=........, BI=204, SSID=eduroam
  182 609.596019073 Cisco_c7:ef:9f → Broadcast    802.11 348  56 Beacon frame, SN=780, FN=0, Flags=........, BI=204, SSID=eduroam
  186 609.882703040 Cisco_98:15:6f → Broadcast    802.11 347  108 Beacon frame, SN=3469, FN=0, Flags=........, BI=204, SSID=eduroam
  190 610.021636582 Cisco_22:e3:1e → Broadcast    802.11 327  116 Beacon frame, SN=789, FN=0, Flags=........, BI=204, SSID=TUvisitor
  191 610.422300786 Cisco_22:e3:7d → Broadcast    802.11 354  132 Beacon frame, SN=3105, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  195 610.650710356 Ubiquiti_64:2e:b8 → Broadcast    802.11 411  140 Beacon frame, SN=2338, FN=0, Flags=........, BI=100, SSID=il-ono.tudelft.wleiden.net
  198 611.552208752 Tp-LinkT_ff:15:2e → Broadcast    802.11 241  11 Beacon frame, SN=2786, FN=0, Flags=........, BI=100, SSID=Broadcast
  201 611.611089988 Cisco_19:33:c0 → Broadcast    802.11 321  13 Beacon frame, SN=3853, FN=0, Flags=........, BI=204, SSID=eduroam
  232 613.442297837 Cisco_22:ec:af → Broadcast    802.11 347  60 Beacon frame, SN=2114, FN=0, Flags=........, BI=204, SSID=eduroam
  241 613.651176376 Cisco_22:ec:af → Broadcast    802.11 347  60 Beacon frame, SN=2117, FN=0, Flags=........, BI=204, SSID=eduroam
  244 618.266251699 Ubiquiti_2e:0e:a3 → Broadcast    802.11 394  48 Beacon frame, SN=2668, FN=0, Flags=........, BI=100, SSID=il-nno.tudelft.wleiden.net
  258 621.088022817 Netgear_62:07:2b → Broadcast    802.11 350  13 Beacon frame, SN=3945, FN=0, Flags=........, BI=100, SSID=zebrolab
  261 621.190427717 Netgear_62:07:2b → Broadcast    802.11 350  13 Beacon frame, SN=3946, FN=0, Flags=........, BI=100, SSID=zebrolab
  263 622.297103650 Cisco_22:cb:2e → Broadcast    802.11 327  52 Beacon frame, SN=3682, FN=0, Flags=........, BI=204, SSID=TUvisitor
  292 622.407702305 Cisco_22:cb:2f → Broadcast    802.11 347  52 Beacon frame, SN=3685, FN=0, Flags=........, BI=204, SSID=eduroam
  309 622.616996529 Cisco_22:cb:2f → Broadcast    802.11 347  52 Beacon frame, SN=3688, FN=0, Flags=........, BI=204, SSID=eduroam
  310 622.825882748 Cisco_22:cb:2f → Broadcast    802.11 347  52 Beacon frame, SN=3691, FN=0, Flags=........, BI=204, SSID=eduroam
  343 624.288103999 Cisco_22:cb:2f → Broadcast    802.11 347  52 Beacon frame, SN=3713, FN=0, Flags=........, BI=204, SSID=eduroam
  363 626.168134814 Cisco_22:cb:2f → Broadcast    802.11 347  52 Beacon frame, SN=3740, FN=0, Flags=........, BI=204, SSID=eduroam
  366 626.376979589 Cisco_22:cb:2f → Broadcast    802.11 347  52 Beacon frame, SN=3743, FN=0, Flags=........, BI=204, SSID=eduroam
  370 628.048164160 Cisco_22:cb:2f → Broadcast    802.11 347  52 Beacon frame, SN=3768, FN=0, Flags=........, BI=204, SSID=eduroam
  373 628.883660154 Cisco_22:cb:2f → Broadcast    802.11 347  52 Beacon frame, SN=3780, FN=0, Flags=........, BI=204, SSID=eduroam
  376 635.777722990 Cisco_22:cb:2f → Broadcast    802.11 350  52 Beacon frame, SN=3881, FN=0, Flags=........, BI=204, SSID=eduroam
  379 635.985719586 Cisco_22:cb:2f → Broadcast    802.11 350  52 Beacon frame, SN=3884, FN=0, Flags=........, BI=204, SSID=eduroam
  386 638.408165561 Cisco_14:40:8e → Broadcast    802.11 327  56 Beacon frame, SN=3336, FN=0, Flags=........, BI=204, SSID=TUvisitor
  387 638.545774269 Cisco_38:d6:1e → Broadcast    802.11 328  64 Beacon frame, SN=3442, FN=0, Flags=........, BI=204, SSID=TUvisitor
  398 639.751140972 Cisco_31:db:5d → Broadcast    802.11 357  100 Beacon frame, SN=1720, FN=0, Flags=........, BI=204, SSID=tudelft-dastud
  399 639.812199315 Cisco_56:55:8e → Broadcast    802.11 327  104 Beacon frame, SN=1156, FN=0, Flags=........, BI=204, SSID=TUvisitor
  422 640.758051536 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1171, FN=0, Flags=........, BI=204, SSID=eduroam
  423 640.967274716 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1174, FN=0, Flags=........, BI=204, SSID=eduroam
  424 641.176218811 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1177, FN=0, Flags=........, BI=204, SSID=eduroam
  426 641.802859912 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1186, FN=0, Flags=........, BI=204, SSID=eduroam
  427 642.011750409 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1189, FN=0, Flags=........, BI=204, SSID=eduroam
  428 642.638426787 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1198, FN=0, Flags=........, BI=204, SSID=eduroam
  429 644.100674718 Cisco_56:55:8f → Broadcast    802.11 347  104 Beacon frame, SN=1219, FN=0, Flags=........, BI=204, SSID=eduroam
